Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,1.53,1.62,1.47,1.54,1.54,129400
2019-01-17,1.54,1.78,1.5,1.75,1.75,256200
2019-01-18,1.79,2.2,1.79,1.87,1.87,513300
2019-01-22,1.9,2.07,1.85,1.89,1.89,207800
2019-01-23,1.92,1.92,1.62,1.75,1.75,192500
2019-01-24,1.72,1.81,1.67,1.74,1.74,119200
2019-01-25,1.73,1.8,1.67,1.71,1.71,91200
2019-01-28,1.72,1.82,1.72,1.8,1.8,98100
2019-01-29,1.96,1.96,1.75,1.79,1.79,300900
2019-01-30,1.77,1.89,1.76,1.84,1.84,176200
2019-01-31,1.89,1.93,1.76,1.85,1.85,128300
2019-02-01,1.85,1.85,1.73,1.74,1.74,86500
2019-02-04,1.71,1.74,1.6,1.69,1.69,111400
2019-02-05,1.7,1.73,1.66,1.68,1.68,27000
2019-02-06,1.65,1.66,1.49,1.55,1.55,105300
2019-02-07,1.53,1.63,1.53,1.53,1.53,21400
2019-02-08,1.55,1.58,1.45,1.51,1.51,40900
2019-02-11,1.49,1.59,1.42,1.52,1.52,80600
2019-02-12,1.56,1.64,1.51,1.59,1.59,69700
2019-02-13,1.59,1.75,1.57,1.64,1.64,171000
2019-02-14,1.68,1.75,1.65,1.67,1.67,62900
2019-02-15,1.68,1.74,1.61,1.64,1.64,141000
2019-02-19,1.6,1.7,1.59,1.64,1.64,67700
2019-02-20,1.6,1.81,1.59,1.71,1.71,87600
2019-02-21,1.67,1.7,1.52,1.56,1.56,278600
2019-02-22,1.57,1.66,1.56,1.6,1.6,51500
2019-02-25,1.6,1.65,1.52,1.55,1.55,160200
2019-02-26,1.55,1.6,1.5,1.58,1.58,145000
2019-02-27,1.58,1.63,1.53,1.6,1.6,56500
2019-02-28,1.6,1.61,1.53,1.6,1.6,104400
2019-03-01,1.61,1.65,1.57,1.63,1.63,81200
2019-03-04,1.63,1.65,1.56,1.59,1.59,72700
2019-03-05,1.6,1.64,1.58,1.61,1.61,123500
2019-03-06,1.6,1.6,1.46,1.49,1.49,248300
2019-03-07,1.46,1.55,1.46,1.52,1.52,135700
2019-03-08,1.48,1.53,1.46,1.49,1.49,104800
2019-03-11,1.49,1.52,1.33,1.39,1.39,197700
2019-03-12,1.4,1.48,1.4,1.46,1.46,101100
2019-03-13,1.46,1.55,1.4,1.43,1.43,117500
2019-03-14,1.42,1.43,1.36,1.36,1.36,64200
2019-03-15,1.36,1.4,1.35,1.38,1.38,30600
2019-03-18,1.4,1.45,1.35,1.41,1.41,133000
2019-03-19,1.41,1.43,1.35,1.36,1.36,41100
2019-03-20,1.36,1.43,1.31,1.34,1.34,89500
2019-03-21,1.33,1.41,1.33,1.33,1.33,122200
2019-03-22,1.32,1.4,1.32,1.33,1.33,50800
2019-03-25,1.31,1.37,1.31,1.36,1.36,31200
2019-03-26,1.35,1.42,1.31,1.31,1.31,45000
2019-03-27,1.3,1.38,1.3,1.35,1.35,31700
2019-03-28,1.35,1.42,1.3,1.35,1.35,62300
2019-03-29,1.4,1.44,1.3,1.32,1.32,125300
2019-04-01,1.35,1.38,1.33,1.34,1.34,64600
2019-04-02,1.33,1.37,1.25,1.31,1.31,115200
2019-04-03,1.32,1.32,1.25,1.27,1.27,46100
2019-04-04,1.27,1.34,1.25,1.26,1.26,62600
2019-04-05,1.26,1.33,1.26,1.32,1.32,60700
2019-04-08,1.32,1.34,1.29,1.34,1.34,31500
2019-04-09,1.34,1.35,1.1,1.25,1.25,2199500
2019-04-10,1.26,1.37,1.22,1.27,1.27,148000
2019-04-11,1.25,1.28,1.23,1.25,1.25,22700
2019-04-12,1.26,1.27,1.17,1.17,1.17,91700
2019-04-15,1.18,1.19,1.11,1.12,1.12,87400
2019-04-16,1.11,1.14,1.07,1.1,1.1,91600
2019-04-17,1.07,1.16,1.06,1.12,1.12,79400
2019-04-18,1.12,1.22,1.06,1.09,1.09,113500
2019-04-22,1.08,1.13,1.03,1.04,1.04,437100
2019-04-23,1.04,1.08,1.03,1.04,1.04,154700
2019-04-24,1.02,1.06,1.02,1.02,1.02,86500
2019-04-25,1.03,1.06,0.91,1.0,1.0,288100
2019-04-26,0.99,1.04,0.97,1.02,1.02,155800
2019-04-29,1.0,1.02,0.97,1.0,1.0,74800
2019-04-30,1.0,1.01,0.98,1.0,1.0,45800
2019-05-01,0.99,0.99,0.94,0.96,0.96,33900
2019-05-02,0.97,0.98,0.92,0.92,0.92,106400
2019-05-03,0.92,0.94,0.88,0.89,0.89,239600
2019-05-06,0.92,0.96,0.91,0.94,0.94,266500
2019-05-07,0.99,1.01,0.94,0.94,0.94,281100
2019-05-08,1.0,1.04,0.99,1.02,1.02,106100
2019-05-09,1.07,1.14,1.0,1.01,1.01,330700
2019-05-10,1.06,1.06,1.0,1.01,1.01,80500
2019-05-13,1.02,1.02,0.96,0.96,0.96,106600
2019-05-14,1.0,1.0,0.95,0.98,0.98,135600
2019-05-15,1.0,1.01,0.98,1.0,1.0,60900
