Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return
2019-02-07,1.53,1.63,1.53,1.53,1.53,21400,-0.012903225806451646
2019-02-08,1.55,1.58,1.45,1.51,1.51,40900,-0.013071895424836666
2019-02-11,1.49,1.59,1.42,1.52,1.52,80600,0.0066225165562914245
2019-02-12,1.56,1.64,1.51,1.59,1.59,69700,0.046052631578947345
2019-02-13,1.59,1.75,1.57,1.64,1.64,171000,0.03144654088050314
2019-02-14,1.68,1.75,1.65,1.67,1.67,62900,0.018292682926829285
2019-02-15,1.68,1.74,1.61,1.64,1.64,141000,-0.017964071856287456
2019-02-19,1.6,1.7,1.59,1.64,1.64,67700,0.0
2019-02-20,1.6,1.81,1.59,1.71,1.71,87600,0.04268292682926833
2019-02-21,1.67,1.7,1.52,1.56,1.56,278600,-0.08196721311475397
2019-02-22,1.57,1.66,1.56,1.6,1.6,51500,0.025641025641025772
2019-02-25,1.6,1.65,1.52,1.55,1.55,160200,-0.03125
2019-02-26,1.55,1.6,1.5,1.58,1.58,145000,0.019354838709677358
2019-02-27,1.58,1.63,1.53,1.6,1.6,56500,0.012658227848101333
2019-02-28,1.6,1.61,1.53,1.6,1.6,104400,0.0
2019-03-01,1.61,1.65,1.57,1.63,1.63,81200,0.018749999999999822
2019-03-04,1.63,1.65,1.56,1.59,1.59,72700,-0.024539877300613355
2019-03-05,1.6,1.64,1.58,1.61,1.61,123500,0.012578616352201255
2019-03-06,1.6,1.6,1.46,1.49,1.49,248300,-0.07453416149068326
2019-03-07,1.46,1.55,1.46,1.52,1.52,135700,0.020134228187919545
2019-03-08,1.48,1.53,1.46,1.49,1.49,104800,-0.019736842105263164
2019-03-11,1.49,1.52,1.33,1.39,1.39,197700,-0.06711409395973156
2019-03-12,1.4,1.48,1.4,1.46,1.46,101100,0.05035971223021596
2019-03-13,1.46,1.55,1.4,1.43,1.43,117500,-0.020547945205479423
2019-03-14,1.42,1.43,1.36,1.36,1.36,64200,-0.04895104895104885
2019-03-15,1.36,1.4,1.35,1.38,1.38,30600,0.014705882352941124
2019-03-18,1.4,1.45,1.35,1.41,1.41,133000,0.021739130434782705
2019-03-19,1.41,1.43,1.35,1.36,1.36,41100,-0.03546099290780125
2019-03-20,1.36,1.43,1.31,1.34,1.34,89500,-0.014705882352941235
2019-03-21,1.33,1.41,1.33,1.33,1.33,122200,-0.007462686567164201
2019-03-22,1.32,1.4,1.32,1.33,1.33,50800,0.0
2019-03-25,1.31,1.37,1.31,1.36,1.36,31200,0.022556390977443552
2019-03-26,1.35,1.42,1.31,1.31,1.31,45000,-0.03676470588235292
2019-03-27,1.3,1.38,1.3,1.35,1.35,31700,0.03053435114503822
2019-03-28,1.35,1.42,1.3,1.35,1.35,62300,0.0
2019-03-29,1.4,1.44,1.3,1.32,1.32,125300,-0.022222222222222254
2019-04-01,1.35,1.38,1.33,1.34,1.34,64600,0.015151515151515138
2019-04-02,1.33,1.37,1.25,1.31,1.31,115200,-0.022388059701492602
2019-04-03,1.32,1.32,1.25,1.27,1.27,46100,-0.03053435114503822
2019-04-04,1.27,1.34,1.25,1.26,1.26,62600,-0.007874015748031482
2019-04-05,1.26,1.33,1.26,1.32,1.32,60700,0.04761904761904767
2019-04-08,1.32,1.34,1.29,1.34,1.34,31500,0.015151515151515138
2019-04-09,1.34,1.35,1.1,1.25,1.25,2199500,-0.0671641791044777
2019-04-10,1.26,1.37,1.22,1.27,1.27,148000,0.016000000000000014
